DISC_NR,filename
191,"Tekken Tag Tournament (Europe) (En,Fr,De,Es,It) (v2.00)"
192,"Final Fantasy X (Europe, Australia)"
193,"Tekken Tag Tournament (Europe) (En,Fr,De,Es,It) (v1.00)"
196,"Kill Switch (Europe) (En,Fr,De,Es,It)"
197,"Killzone (Europe, Australia) (En,Fr,De,Es,It,Nl)"
198,"Kingdom Hearts (Europe, Australia)"
199,"Metal Gear Solid 2 - Sons of Liberty (Europe) (En,Fr,De)"
200,"Metal Gear Solid 3 - Snake Eater (Europe) (En,Fr)"
201,Peter Jackson's King Kong - The Official Game of the Movie (Russia)
202,"Prince of Persia - Warrior Within (Europe, Australia) (En,Fr,De,Es,It,Nl)"
203,"Rayman 3 - Hoodlum Havoc (Europe) (En,Fr,De,Es,It)"
204,"Rayman Revolution (Europe) (En,Fr,De,Es,It)"
205,"Shin Megami Tensei - Lucifer's Call (Europe) (En,Fr,De)"
206,"Sonic Heroes (Europe, Australia) (En,Fr,De,Es,It)"
210,"Final Fantasy X (USA, Canada)"
211,"Killzone (Europe) (En,Ru,El)"
212,"Final Fantasy X-2 (USA, Canada)"
213,"Gran Turismo 4 - Prologue (Europe) (En,Fr,De,Es,It)"
214,Beatmania Da Da Da!! (Japan)
215,Rock'n Megastage (Japan)
216,LowRider - Round the World (Japan)
217,Metal Gear Solid 3 - Snake Eater (USA)
218,Tekken 4 (USA)
219,"Resident Evil 4 (Europe) (En,Fr,De,Es,It)"
221,Disgaea - Hour of Darkness (USA)
225,"Ratchet & Clank 3 (Europe, Australia) (En,Fr,De,Es,It)"
227,Gran Turismo 3 - A-Spec (USA) (v1.00)
229,"Cold Fear (Europe) (En,Fr,De,Es,It)"
230,"Forgotten Realms - Demon Stone (Europe) (En,Fr,De,Es,It)"
231,"Jak 3 (Europe, Australia) (En,Fr,De,Es,It,Pt,Ru)"
232,Kessen III (Europe)
233,Max Payne (Europe)
234,"Ratchet & Clank 2 (Europe, Australia) (En,Fr,De,Es,It)"
235,"Shadow Hearts II (Europe, Australia) (En,Fr,De) (Disc 1)"
236,"Shadow Hearts II (Europe, Australia) (En,Fr,De) (Disc 2)"
237,"Disney's Treasure Planet (Europe) (En,Fr,De,Nl)"
246,"Gran Turismo 3 - A-Spec (Europe, Australia) (En,Fr,De,Es,It) (v2.00)"
247,"Tekken 4 (Europe) (En,Fr,De,Es,It) (v1.00)"
251,Stella Deus - The Gate of Eternity (USA)
253,Shin Megami Tensei - Digital Devil Saga (USA)
266,Naruto - Narutimate Hero 3 (Japan)
268,Final Fantasy X (Europe) (Demo)
