id,filename
2,"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)"
9,Bio Hazard (Japan) (Rev 1)
10,Biohazard 3 - Last Escape (Japan)
17,Bushido Blade 2 (USA)
20,"Chrono Cross (USA, Canada) (Disc 1)"
21,"Chrono Cross (USA, Canada) (Disc 2)"
22,Clock Tower (USA)
23,Clock Tower II - The Struggle Within (USA)
24,Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies)
25,Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet)
29,Crisis Beat (Europe)
31,"Diablo (USA) (En,Fr,De,Sv)"
34,Driver - You Are the Wheelman (USA) (Rev 1)
36,Evil Dead - Hail to the King (Europe) (Disc 1)
37,Evil Dead - Hail to the King (Europe) (Disc 2)
38,Evil Dead - Hail to the King (USA) (Disc 1)
39,Evil Dead - Hail to the King (USA) (Disc 2)
40,"Exhumed (Europe) (En,Fr,De,Es)"
45,Felony 11-79 (USA)
46,"Final Fantasy Anthology - European Edition - Final Fantasy IV (Europe, Australia)"
47,"Final Fantasy Anthology - European Edition - Final Fantasy V (Europe, Australia)"
48,Final Fantasy Anthology - Final Fantasy V (USA)
49,Final Fantasy Anthology - Final Fantasy VI (USA)
50,"Final Fantasy Chronicles - Final Fantasy IV (USA, Canada)"
51,"Final Fantasy Chronicles - Chrono Trigger (USA, Canada)"
53,Final Fantasy Origins (USA)
54,"Final Fantasy Origins (USA, Canada) (Rev 1)"
55,Final Fantasy Tactics (USA)
59,"Final Fantasy VI (Europe, Australia)"
60,Final Fantasy VII (Japan) (Disc 1)
61,Final Fantasy VII (Japan) (Disc 2)
62,Final Fantasy VII (Japan) (Disc 3)
63,Final Fantasy VII (Europe) (Disc 1)
64,Final Fantasy VII (Europe) (Disc 2)
65,Final Fantasy VII (Europe) (Disc 3)
66,Final Fantasy VII (USA) (Disc 1)
67,Final Fantasy VII (USA) (Disc 2)
68,Final Fantasy VII (USA) (Disc 3)
69,Final Fantasy VIII (USA) (Disc 1)
70,Final Fantasy VIII (USA) (Disc 2)
71,Final Fantasy VIII (USA) (Disc 3)
72,Final Fantasy VIII (USA) (Disc 4)
73,"Final Fantasy IX (USA, Canada) (Disc 1)"
74,"Final Fantasy IX (USA, Canada) (Disc 2)"
75,"Final Fantasy IX (USA, Canada) (Disc 3)"
76,"Final Fantasy IX (USA, Canada) (Disc 4)"
77,Front Mission 3 (USA)
81,"Gran Turismo (Europe) (En,Fr,De,Es,It)"
82,"Gran Turismo 2 (Europe) (En,Fr,De,Es,It) (Disc 1) (Arcade Mode)"
83,"Gran Turismo 2 (Europe) (En,Fr,De,Es,It) (Disc 2) (Gran Turismo Mode)"
84,Gran Turismo 2 (USA) (Arcade Mode)
85,Gran Turismo 2 (USA) (Simulation Mode)
86,Harvest Moon - Back to Nature (USA)
89,In Cold Blood (Europe) (Disc 1)
90,In Cold Blood (Europe) (Disc 2)
93,Jade Cocoon - Story of the Tamamayu (USA)
94,King's Field (USA)
95,Legend of Legaia (USA)
96,Legend of Mana (USA)
97,Lunar 2 - Eternal Blue Complete (USA) (Disc 1)
98,Lunar 2 - Eternal Blue Complete (USA) (Disc 2)
99,Lunar 2 - Eternal Blue Complete (USA) (Disc 3)
100,Metal Gear Solid (Italy) (Disc 1)
101,Metal Gear Solid (Italy) (Disc 2)
102,Metal Gear Solid (USA) (Disc 1)
103,Metal Gear Solid (USA) (Disc 2)
104,Metal Gear Solid (USA) (Disc 1) (Rev 1)
105,Metal Gear Solid (USA) (Disc 2) (Rev 1)
108,Monster Rancher 2 (USA)
110,"Music - Music Creation for the PlayStation (Europe) (En,Fr,De,Es,It)"
113,Need for Speed III - Hot Pursuit (USA)
114,Need for Speed - High Stakes (USA)
115,"Need for Speed - Road Challenge (Europe) (En,Sv)"
116,Parasite Eve (USA) (Disc 1)
117,Parasite Eve (USA) (Disc 2)
118,Parasite Eve II (Europe) (Disc 1)
119,Parasite Eve II (Europe) (Disc 2)
120,Persona (USA)
121,"R4 - Ridge Racer Type 4 (Japan, Asia)"
122,Resident Evil (USA)
123,Resident Evil - Director's Cut (USA)
125,Resident Evil - Director's Cut - Dual Shock Ver. (USA)
126,"Resident Evil 3 - Nemesis (USA, Canada)"
133,SaGa Frontier (USA)
134,Silent Hill (Japan)
135,"Silent Hill (Europe) (En,Fr,De,Es,It)"
137,Silent Hill (USA)
138,Silent Hill (Europe) (Demo)
139,"SimCity 2000 (Europe) (En,Fr,De,Es)"
148,Suikoden II (USA)
149,Syphon Filter (USA)
151,Tales of Phantasia (Japan)
153,"Legend of Dragoon, The (USA, Canada) (Disc 1)"
154,"Legend of Dragoon, The (USA, Canada) (Disc 2)"
155,"Legend of Dragoon, The (USA, Canada) (Disc 3)"
156,"Legend of Dragoon, The (USA, Canada) (Disc 4)"
158,"Threads of Fate (USA, Canada)"
159,Tomb Raider III - Adventures of Lara Croft (USA)
160,Tomb Raider Chronicles (Europe)
163,Twisted Metal - Small Brawl (USA)
164,Vagrant Story (USA)
166,Vandal Hearts (USA)
167,"WarCraft II - The Dark Saga (USA) (En,Fr,De,Es,It)"
169,Wild Arms (Europe)
170,Wild Arms (USA)
171,Wild Arms 2 (USA) (Disc 1)
172,Wild Arms 2 (USA) (Disc 2)
177,Xenogears (USA) (Disc 1)
178,Xenogears (USA) (Disc 2)
181,"Tenchu - Stealth Assassins (Europe) (En,Fr,It)"
183,Prism Land Story (Europe)
184,Breath of Fire III (USA)
185,Tomb Raider IV - The Last Revelation (Germany) (EDC)
186,"Thrasher - Skate and Destroy (Europe) (En,Fr,De,Es,It)"
187,"FIFA 2000 (Europe) (En,De,Es,Nl,Sv)"
188,"Grand Theft Auto 2 (Europe) (En,Fr,De,Es,It) (Rev 1)"
189,Alien Trilogy (Germany)
190,Euro Demo 29 (Europe)
208,Jade Cocoon - Die Tamamayu Legende (Germany)
209,Tomb Raider - The Last Revelation (USA) (Rev 1)
226,"Point Blank 2 (Europe, Australia) (En,Fr,De,Es,It)"
228,"Raiden Project, The (Europe)"
242,Tenchu 2 - Birth of the Stealth Assassins (USA)
243,R-Types (USA)
248,"Crash Bandicoot 3 - Warped (Europe, Australia) (En,Fr,De,Es,It)"
258,"Constructor (Europe) (En,Fr,De,Es)"
259,Koudelka (USA) (Disc 1)
260,Koudelka (USA) (Disc 2)
261,Koudelka (USA) (Disc 3)
262,Koudelka (USA) (Disc 4)
271,Ace Combat 2 (Japan)
280,SaGa Frontier 2 (Europe)
287,Euro Demo 55 (Europe)
288,Euro Demo 65 (Europe)
289,Euro Demo 66 (Europe)
290,Euro Demo 67 (Europe)
291,Euro Demo 64 (Europe)
292,Euro Demo 70 (Europe)
293,Euro Demo 71 (Europe)
294,Euro Demo 72 (Europe)
295,Disney Jeu d'Action Disney Presente Hercule (France)
296,Euro Demo 49 (Europe)
297,Euro Demo 30 (Europe)
298,Euro Demo 41 (Europe)
299,Euro Demo 42 (Europe)
300,Euro Demo 43 (Europe)
301,Euro Demo 44 (Europe)
302,Euro Demo 45 (Europe)
303,Euro Demo 46 (Europe)
304,Euro Demo 47 (Europe)
305,Euro Demo 48 (Europe)
306,Euro Demo 50 (Europe)
307,Bogey Dead 6 (USA)
308,Euro Demo 52 (Europe)
309,Euro Demo 51 (Europe)
310,"Euro Demo 53 (Europe, Australia)"
311,Euro Demo 54 (Europe)
312,Euro Demo 56 (Europe)
313,Euro Demo 57 (Europe)
314,Euro Demo 58 (Europe)
315,Euro Demo 59 (Europe)
316,Euro Demo 60 (Europe)
317,Euro Demo 61 (Europe)
318,Euro Demo 62 (Europe) (EDC)
319,Euro Demo 63 (Europe)
322,Euro Demo 69 (Europe)
323,Point Blank (Europe) (Demo)
324,Command & Conquer - Alarmstufe Rot (Germany) (Disc 1)
325,Command & Conquer - Alarmstufe Rot (Germany) (Disc 2)
326,Resident Evil - Survivor (USA)
327,Demo One (Version 5) (Europe)
329,"CT Special Forces (Europe) (En,Fr,De,Es,It,Nl)"
330,MechWarrior 2 - Kampfspiel des 31. Jahrhunderts - Arcade Combat Edition (Germany)
331,Euro Demo 28 (Europe)
332,Euro Demo 33 (Europe)
333,Samurai Shodown III (Europe)
